,"{namespace=""cluster-loader""}","{namespace=""test-klig0u-1""}"
2023-12-21 04:18:29,11.011133333333333,2089.5751048640204
2023-12-21 04:19:29,23.011133333333333,21511.61587525385
2023-12-21 04:20:29,35.01113333333333,60609.22744745846
2023-12-21 04:21:29,47.01113333333333,116895.04332454078
2023-12-21 04:22:29,59.01113333333333,187500.6022505134
2023-12-21 04:23:29,71.01113333333333,269005.3385393017
2023-12-21 04:24:29,83.01113333333333,360295.52919991687
2023-12-21 04:25:29,95.01113333333333,460307.2497609045
2023-12-21 04:26:29,107.01113333333333,558601.5882854906
2023-12-21 04:27:29,119.01113333333332,656614.4977318303
2023-12-21 04:28:29,131.01113333333333,754994.9294615579
2023-12-21 04:29:29,143.0111333333333,853468.0978495864
2023-12-21 04:30:29,155.0111333333333,951940.656937226
2023-12-21 04:31:29,167.0111333333333,1050668.0314700871
2023-12-21 04:32:29,179.01113333333336,1149357.642183444
2023-12-21 04:33:29,191.0107997319238,1248339.4340431818
2023-12-21 04:34:29,203.0111333333333,1347859.4877950356
2023-12-21 04:35:29,215.0111333333333,1447382.0245582294
2023-12-21 04:36:29,227.0111333333333,1546224.3408673496
2023-12-21 04:37:29,239.0111333333333,1645102.9728681021
2023-12-21 04:38:29,251.0111333333333,1744233.4115211894
2023-12-21 04:39:29,263.01113333333336,1843450.1653523648
2023-12-21 04:40:29,275.0111333333333,1942995.0454234714
2023-12-21 04:41:29,287.01113333333336,2042447.2509314355
2023-12-21 04:42:29,299.0111333333333,2140408.610884434
2023-12-21 04:43:29,311.0111333333333,2238878.416570063
2023-12-21 04:44:29,323.0111333333333,2337556.761628
2023-12-21 04:45:29,335.01113333333336,2436117.940818417
2023-12-21 04:46:29,347.0111333333333,2534515.258834585
2023-12-21 04:47:29,359.01093300655424,2632758.848452426
2023-12-21 04:48:29,370.010718699187,2731167.0219675163
2023-12-21 04:49:29,382.01073175853026,2829550.5905704857
2023-12-21 04:50:29,394.01074402035624,2928071.4155166037
2023-12-21 04:51:29,406.01075555555565,3026859.370022003
2023-12-21 04:52:29,418.0107664268586,3125365.919037874
2023-12-21 04:53:29,430.01077668997675,3223785.594033826
2023-12-21 04:54:29,437.5,3322662.075018893
