,"{container=""coredns""}"
2023-12-21 04:17:29,0.054366208
2023-12-21 04:18:29,0.057348096
2023-12-21 04:19:29,0.05926912
2023-12-21 04:20:29,0.059973632
2023-12-21 04:21:29,0.060076032
2023-12-21 04:22:29,0.060928
2023-12-21 04:23:29,0.060489728
2023-12-21 04:24:29,0.061587456
2023-12-21 04:25:29,0.061964288
2023-12-21 04:26:29,0.064233472
2023-12-21 04:27:29,0.066981888
2023-12-21 04:28:29,0.069599232
2023-12-21 04:29:29,0.07133184
2023-12-21 04:30:29,0.073863168
2023-12-21 04:31:29,0.07432192
2023-12-21 04:32:29,0.075317248
2023-12-21 04:33:29,0.076578816
2023-12-21 04:34:29,0.076341248
2023-12-21 04:35:29,0.077307904
2023-12-21 04:36:29,0.077082624
2023-12-21 04:37:29,0.077307904
2023-12-21 04:38:29,0.07876608
2023-12-21 04:39:29,0.078508032
2023-12-21 04:40:29,0.077840384
2023-12-21 04:41:29,0.078368768
2023-12-21 04:42:29,0.09455616
2023-12-21 04:43:29,0.094416896
2023-12-21 04:44:29,0.0935936
2023-12-21 04:45:29,0.093720576
2023-12-21 04:46:29,0.094113792
2023-12-21 04:47:29,0.093167616
2023-12-21 04:48:29,0.089890816
2023-12-21 04:49:29,0.094662656
2023-12-21 04:50:29,0.093360128
2023-12-21 04:51:29,0.091951104
2023-12-21 04:52:29,0.093331456
2023-12-21 04:53:29,0.094027776
2023-12-21 04:54:29,0.094670848
