,"{namespace=""cluster-loader""}","{namespace=""test-klig0u-1""}"
2023-12-21 04:18:29,6.0,1366.0
2023-12-21 04:19:29,6.0,3734.0
2023-12-21 04:20:29,6.0,5516.0
2023-12-21 04:21:29,6.0,6780.0
2023-12-21 04:22:29,6.0,7546.0
2023-12-21 04:23:29,6.0,8156.0
2023-12-21 04:24:29,6.0,9012.0
2023-12-21 04:25:29,6.0,10894.0
2023-12-21 04:26:29,6.0,15782.0
2023-12-21 04:27:29,6.0,21330.0
2023-12-21 04:28:29,6.0,27390.0
2023-12-21 04:29:29,6.0,33202.0
2023-12-21 04:30:29,6.0,37196.0
2023-12-21 04:31:29,6.0,39988.0
2023-12-21 04:32:29,6.0,42734.0
2023-12-21 04:33:29,6.0,45676.0
2023-12-21 04:34:29,6.0,48606.0
2023-12-21 04:35:29,6.0,49450.0
2023-12-21 04:36:29,6.0,48982.0
2023-12-21 04:37:29,6.0,49160.0
2023-12-21 04:38:29,6.0,49066.0
2023-12-21 04:39:29,6.0,48810.0
2023-12-21 04:40:29,6.0,49134.0
2023-12-21 04:41:29,6.0,49300.0
2023-12-21 04:42:29,6.0,48768.0
2023-12-21 04:43:29,6.0,49138.0
2023-12-21 04:44:29,6.0,49122.0
2023-12-21 04:45:29,6.0,49040.0
2023-12-21 04:46:29,6.0,48976.0
2023-12-21 04:47:29,6.0,48818.0
2023-12-21 04:48:29,6.0,48932.0
2023-12-21 04:49:29,6.0,48998.0
2023-12-21 04:50:29,6.0,48884.0
2023-12-21 04:51:29,6.0,49070.0
2023-12-21 04:52:29,6.0,48704.0
2023-12-21 04:53:29,6.0,48764.0
2023-12-21 04:54:29,,48956.0
