,"{namespace=""cluster-loader""}","{namespace=""test-klig0u-1""}"
2023-12-21 04:18:29,185.0,21998.0
2023-12-21 04:19:29,195.0,64280.0
2023-12-21 04:20:29,199.0,117202.0
2023-12-21 04:21:29,203.0,177504.0
2023-12-21 04:22:29,203.0,241491.0
2023-12-21 04:23:29,203.0,307078.0
2023-12-21 04:24:29,203.0,376267.0
2023-12-21 04:25:29,203.0,446137.0
2023-12-21 04:26:29,203.0,511449.0
2023-12-21 04:27:29,203.0,575184.0
2023-12-21 04:28:29,204.0,631965.0
2023-12-21 04:29:29,207.0,682893.0
2023-12-21 04:30:29,207.0,726322.0
2023-12-21 04:31:29,207.0,759126.0
2023-12-21 04:32:29,211.0,784097.0
2023-12-21 04:33:29,211.0,807573.0
2023-12-21 04:34:29,211.0,824569.0
2023-12-21 04:35:29,215.0,826807.0
2023-12-21 04:36:29,215.0,825516.0
2023-12-21 04:37:29,215.0,835400.0
2023-12-21 04:38:29,215.0,840280.0
2023-12-21 04:39:29,215.0,841520.0
2023-12-21 04:40:29,215.0,850333.0
2023-12-21 04:41:29,215.0,854875.0
2023-12-21 04:42:29,227.0,904928.0
2023-12-21 04:43:29,275.0,1209182.0
2023-12-21 04:44:29,324.0,1477025.0
2023-12-21 04:45:29,385.0,1777460.0
2023-12-21 04:46:29,429.0,2057292.0
2023-12-21 04:47:29,465.0,2305068.0
2023-12-21 04:48:29,512.0,2538137.0
2023-12-21 04:49:29,558.0,2743151.0
2023-12-21 04:50:29,597.0,2916223.0
2023-12-21 04:51:29,621.0,3085816.0
2023-12-21 04:52:29,657.0,3197759.0
2023-12-21 04:53:29,685.0,3315286.0
2023-12-21 04:54:29,,3424468.0
