,"{namespace=""cluster-loader""}","{namespace=""test-klig0u-1""}"
2023-12-21 04:18:29,158.41256666666666,4797.6568292926495
2023-12-21 04:19:29,147.33149206349208,8867.00835709136
2023-12-21 04:20:29,140.91921212121213,12089.840804101837
2023-12-21 04:21:29,142.20918095238096,14420.261288301996
2023-12-21 04:22:29,140.4064,15250.154711909368
2023-12-21 04:23:29,139.2530624505929,16052.891515286774
2023-12-21 04:24:29,138.4517242165242,17245.77805685533
2023-12-21 04:25:29,137.86254967741934,20428.73206007959
2023-12-21 04:26:29,137.4111193277311,28393.90373663097
2023-12-21 04:27:29,137.05417867746286,37390.743842368865
2023-12-21 04:28:29,137.7776830564784,47359.81784663547
2023-12-21 04:29:29,140.57252469935247,58717.9182538955
2023-12-21 04:30:29,140.36771576470588,65922.7084025637
2023-12-21 04:31:29,140.19311515151514,70749.99703136548
2023-12-21 04:32:29,144.0902912916423,76183.6562374483
2023-12-21 04:33:29,143.95566428634945,82229.82124147427
2023-12-21 04:34:29,143.83783500678425,88203.04887454482
2023-12-21 04:35:29,147.8055808987257,93717.91409773388
2023-12-21 04:36:29,147.70828396396396,99575.79982043432
2023-12-21 04:37:29,147.6209371848967,105865.37159633763
2023-12-21 04:38:29,147.54208843177588,111949.39301278652
2023-12-21 04:39:29,147.4705550387597,117667.02256608695
2023-12-21 04:40:29,147.40536407000408,121179.69814119367
2023-12-21 04:41:29,147.34570780141843,122601.67439996911
2023-12-21 04:42:29,147.2909100803958,122876.20321556777
2023-12-21 04:43:29,147.2404005837934,124441.77276027417
2023-12-21 04:44:29,147.1936948921413,126059.95095450003
2023-12-21 04:45:29,147.1503789025389,127674.38802775565
2023-12-21 04:46:29,147.11009651665398,129350.58037547726
2023-12-21 04:47:29,147.0724821068593,131081.11933954046
2023-12-21 04:48:29,147.03924051712647,132828.08300764658
2023-12-21 04:49:29,147.00625435153938,134677.18871565297
2023-12-21 04:50:29,147.980628541789,136488.82537265844
2023-12-21 04:51:29,147.95136069651744,138410.67202012657
2023-12-21 04:52:29,147.92378927814272,140259.17636496757
2023-12-21 04:53:29,147.89777094783153,142196.5824414766
2023-12-21 04:54:29,149.02495210727972,144134.0448893069
