,"{namespace=""test-47lueu-1""}"
2023-12-21 06:50:50,170.9060507444196
2023-12-21 06:51:50,8435.34626295722
2023-12-21 06:52:50,25714.549779362984
2023-12-21 06:53:50,55555.54843184014
2023-12-21 06:54:50,93280.26061424713
2023-12-21 06:55:50,142548.29694972362
2023-12-21 06:56:50,197578.73921703835
2023-12-21 06:57:50,252652.56265431934
2023-12-21 06:58:50,301523.8322360884
2023-12-21 06:59:50,345139.90055083315
2023-12-21 07:00:50,384041.0295395421
2023-12-21 07:01:50,416949.5882057538
2023-12-21 07:02:50,444114.9227935342
2023-12-21 07:03:50,465380.4769986533
2023-12-21 07:04:50,481878.08761417185
2023-12-21 07:05:50,498293.9582645274
2023-12-21 07:06:50,514753.3911048669
