,"{container=""coredns""}"
2023-12-21 06:49:50,0.068022272
2023-12-21 06:50:50,0.072515584
2023-12-21 06:51:50,0.072507392
2023-12-21 06:52:50,0.07473152
2023-12-21 06:53:50,0.075075584
2023-12-21 06:54:50,0.076300288
2023-12-21 06:55:50,0.077811712
2023-12-21 06:56:50,0.08005632
2023-12-21 06:57:50,0.082108416
2023-12-21 06:58:50,0.080183296
2023-12-21 06:59:50,0.084373504
2023-12-21 07:00:50,0.08448
2023-12-21 07:01:50,0.086237184
2023-12-21 07:02:50,0.087072768
2023-12-21 07:03:50,0.088813568
2023-12-21 07:04:50,0.101101568
2023-12-21 07:05:50,0.089767936
2023-12-21 07:06:50,0.091066368
