,"{container=""discovery""}"
2023-12-21 06:49:50,0.23638016
2023-12-21 06:50:50,1.379250176
2023-12-21 06:51:50,4.152958976
2023-12-21 06:52:50,7.012651008
2023-12-21 06:53:50,9.398669312
2023-12-21 06:54:50,11.766104064
2023-12-21 06:55:50,14.680711168
2023-12-21 06:56:50,15.983685632
2023-12-21 06:57:50,18.409623552
2023-12-21 06:58:50,19.131158528
2023-12-21 06:59:50,20.269768704
2023-12-21 07:00:50,21.241061376
2023-12-21 07:01:50,22.200111104
2023-12-21 07:02:50,23.409340416
2023-12-21 07:03:50,24.148615168
2023-12-21 07:04:50,24.658681856
2023-12-21 07:05:50,24.658681856
2023-12-21 07:06:50,24.658681856
