,"{namespace=""cluster-loader""}","{namespace=""test-47lueu-1""}"
2023-12-21 06:50:50,6.0,1234.0
2023-12-21 06:51:50,6.0,3920.0
2023-12-21 06:52:50,6.0,6514.0
2023-12-21 06:53:50,6.0,8814.0
2023-12-21 06:54:50,6.0,11932.0
2023-12-21 06:55:50,6.0,14452.0
2023-12-21 06:56:50,6.0,17626.0
2023-12-21 06:57:50,6.0,21432.0
2023-12-21 06:58:50,6.0,25138.0
2023-12-21 06:59:50,6.0,27952.0
2023-12-21 07:00:50,6.0,30836.0
2023-12-21 07:01:50,6.0,33762.0
2023-12-21 07:02:50,4.0,36634.0
2023-12-21 07:03:50,6.0,39452.0
2023-12-21 07:04:50,6.0,40252.0
2023-12-21 07:05:50,6.0,40462.0
2023-12-21 07:06:50,6.0,40510.0
