,"{namespace=""cluster-loader""}","{namespace=""test-47lueu-1""}"
2023-12-21 06:50:50,239.0,25295.0
2023-12-21 06:51:50,267.0,65957.0
2023-12-21 06:52:50,276.0,115587.0
2023-12-21 06:53:50,284.0,173315.0
2023-12-21 06:54:50,288.0,238037.0
2023-12-21 06:55:50,288.0,308859.0
2023-12-21 06:56:50,289.0,380755.0
2023-12-21 06:57:50,292.0,448232.0
2023-12-21 06:58:50,296.0,512770.0
2023-12-21 06:59:50,296.0,570132.0
2023-12-21 07:00:50,300.0,620405.0
2023-12-21 07:01:50,300.0,665206.0
2023-12-21 07:02:50,199.0,703601.0
2023-12-21 07:03:50,300.0,736000.0
2023-12-21 07:04:50,300.0,741753.0
2023-12-21 07:05:50,300.0,757208.0
2023-12-21 07:06:50,321.0,880757.0
