,"{namespace=""cluster-loader""}","{namespace=""test-47lueu-1""}"
2023-12-21 06:50:50,255.64898395209892,8095.630987280699
2023-12-21 06:51:50,246.4304761904762,16460.22063857587
2023-12-21 06:52:50,243.41191636363638,25698.5167531889
2023-12-21 06:53:50,242.10493142019095,33951.16357163396
2023-12-21 06:54:50,243.00874970760236,40395.02520502057
2023-12-21 06:55:50,240.84630434782608,45904.239931444805
2023-12-21 06:56:50,240.36759316239318,52946.07809946603
2023-12-21 06:57:50,242.32176473118278,60635.86281688225
2023-12-21 06:58:50,245.60917165266108,66643.05000175971
2023-12-21 06:59:50,244.9455543859649,71334.58190125985
2023-12-21 07:00:50,248.47319452487488,76925.52840103455
2023-12-21 07:01:50,247.99799241443108,82581.67463355993
2023-12-21 07:02:50,247.65587216006404,88172.3172560528
2023-12-21 07:03:50,247.27113260148658,93651.38929442769
2023-12-21 07:04:50,246.975970147754,94986.31593417426
2023-12-21 07:05:50,246.71896792492424,96395.20068338752
2023-12-21 07:06:50,246.49273554280734,97954.2848848851
