,{}
2023-12-21 05:58:42,0.0
2023-12-21 05:59:42,0.0
2023-12-21 06:00:42,0.0
2023-12-21 06:01:42,0.0
2023-12-21 06:02:42,0.0
2023-12-21 06:03:42,0.0
2023-12-21 06:04:42,0.0
2023-12-21 06:05:42,0.0
2023-12-21 06:06:42,0.0
2023-12-21 06:07:42,0.0
2023-12-21 06:08:42,0.0
2023-12-21 06:09:42,0.0
2023-12-21 06:10:42,0.0
2023-12-21 06:11:42,0.0
2023-12-21 06:12:42,25728.949696143714
2023-12-21 06:13:42,81992.34881640834
2023-12-21 06:14:42,120682.70583291196
2023-12-21 06:15:42,152548.78125913188
2023-12-21 06:16:42,188047.75861783777
2023-12-21 06:17:42,226205.13949302764
2023-12-21 06:18:42,275225.140565254
2023-12-21 06:19:42,326377.26021657087
2023-12-21 06:20:42,376176.2130945953
2023-12-21 06:21:42,423918.4241380546
2023-12-21 06:22:42,470112.2259962356
2023-12-21 06:23:42,512097.0304925175
2023-12-21 06:24:42,551249.8076651338
