,{}
2023-12-21 05:58:42,2285.0
2023-12-21 05:59:42,6932.0
2023-12-21 06:00:42,11255.0
2023-12-21 06:01:42,15085.0
2023-12-21 06:02:42,18312.0
2023-12-21 06:03:42,20943.0
2023-12-21 06:04:42,23557.0
2023-12-21 06:05:42,25272.0
2023-12-21 06:06:42,27560.0
2023-12-21 06:07:42,29062.0
2023-12-21 06:08:42,29040.0
2023-12-21 06:09:42,28864.0
2023-12-21 06:10:42,28637.0
2023-12-21 06:11:42,28273.0
2023-12-21 06:12:42,28207.0
2023-12-21 06:13:42,27666.0
2023-12-21 06:14:42,27431.0
2023-12-21 06:15:42,27035.0
2023-12-21 06:16:42,27244.0
2023-12-21 06:17:42,27602.0
2023-12-21 06:18:42,27529.0
2023-12-21 06:19:42,27591.0
2023-12-21 06:20:42,27154.0
2023-12-21 06:21:42,27821.0
2023-12-21 06:22:42,27603.0
2023-12-21 06:23:42,27644.0
2023-12-21 06:24:42,27566.0
