,"{container=""discovery""}"
2023-12-21 05:57:42,1.0
2023-12-21 05:58:42,8.0
2023-12-21 05:59:42,10.0
2023-12-21 06:00:42,10.0
2023-12-21 06:01:42,13.0
2023-12-21 06:02:42,13.0
2023-12-21 06:03:42,13.0
2023-12-21 06:04:42,13.0
2023-12-21 06:05:42,13.0
2023-12-21 06:06:42,13.0
2023-12-21 06:07:42,10.0
2023-12-21 06:08:42,9.0
2023-12-21 06:09:42,10.0
2023-12-21 06:10:42,9.0
2023-12-21 06:11:42,8.0
2023-12-21 06:13:42,1.0
2023-12-21 06:14:42,1.0
2023-12-21 06:15:42,2.0
2023-12-21 06:16:42,5.0
2023-12-21 06:17:42,7.0
2023-12-21 06:18:42,11.0
2023-12-21 06:19:42,12.0
2023-12-21 06:20:42,12.0
2023-12-21 06:21:42,12.0
2023-12-21 06:22:42,12.0
2023-12-21 06:23:42,12.0
2023-12-21 06:24:42,11.0
