,"{container=""istio-proxy""}"
2023-12-21 05:58:42,1.0
2023-12-21 05:59:42,1.0
2023-12-21 06:00:42,1.0
2023-12-21 06:01:42,1.0
2023-12-21 06:02:42,1.0
2023-12-21 06:03:42,1.0
2023-12-21 06:04:42,1.0
2023-12-21 06:05:42,1.0
2023-12-21 06:06:42,1.0
2023-12-21 06:07:42,1.0
2023-12-21 06:08:42,1.0
2023-12-21 06:09:42,1.0
2023-12-21 06:10:42,1.0
2023-12-21 06:11:42,1.0
2023-12-21 06:12:42,1.0
2023-12-21 06:13:42,1.0
2023-12-21 06:14:42,1.0
2023-12-21 06:15:42,1.0
2023-12-21 06:16:42,1.0
2023-12-21 06:17:42,1.0
2023-12-21 06:18:42,1.0
2023-12-21 06:19:42,1.0
2023-12-21 06:20:42,1.0
2023-12-21 06:21:42,1.0
2023-12-21 06:22:42,1.0
2023-12-21 06:23:42,1.0
2023-12-21 06:24:42,1.0
