,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""events""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""nodes""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""serviceaccounts""}","{resource=""services""}","{resource=""storageclasses.storage.k8s.io""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-21 05:57:42,0.08888888888888888,,,,,,,,,,,,,,,,,,
2023-12-21 05:58:42,0.1111111111111111,,1.8666666666666667,,,,,,,,,,,,,,0.26666666666666666,,
2023-12-21 05:59:42,0.1111111111111111,,,,,,,,,,,,,,0.17777777777777776,,,,
2023-12-21 06:00:42,0.1111111111111111,,,,,,,,,,,,,,,,,,
2023-12-21 06:01:42,0.1111111111111111,,1.8666666666666667,,,,,,0.06666666666666667,,,,,,,,0.26666666666666666,,0.06666666666666667
2023-12-21 06:02:42,0.1111111111111111,,,,,,,35.48888888888889,,,33.6,,178.57777777777775,,,1.2,,,
2023-12-21 06:03:42,0.1111111111111111,1.5777777777777777,1.8666666666666667,0.24444444444444444,0.4,0.3555555555555555,0.04444444444444444,,,0.2,11.2,0.06666666666666667,212.64444444444445,0.2,0.17777777777777776,,0.17777777777777776,0.6,
2023-12-21 06:04:42,0.1111111111111111,,,,,,,,,,,,,,0.3555555555555555,,0.26666666666666666,,
2023-12-21 06:05:42,0.1111111111111111,,,,,,,,,,,,,,,,,,
2023-12-21 06:06:42,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,,,0.06666666666666667
2023-12-21 06:07:42,0.1111111111111111,,,,,,,4122.222222222222,,,,,,,,,0.26666666666666666,,
2023-12-21 06:08:42,0.1111111111111111,,,,,,,,,,,,,,,,,,
2023-12-21 06:09:42,0.1111111111111111,,,,,,,,,,,,,,,,,,
2023-12-21 06:10:42,0.1111111111111111,,,,,,,,,,,,,,,,0.26666666666666666,,
2023-12-21 06:11:42,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,,,,0.06666666666666667
2023-12-21 06:12:42,0.1111111111111111,,,,,,,,,,,,,,,,,,
2023-12-21 06:13:42,0.1111111111111111,,,,,,,,,,,,,,,,0.26666666666666666,,
2023-12-21 06:14:42,0.1111111111111111,,,,,,,1155.5555555555554,,,,,,,0.3555555555555555,,,,
2023-12-21 06:15:42,0.1111111111111111,,,,,,,1722.2222222222222,,,,,,,,,,,
2023-12-21 06:16:42,0.11106175033318524,,,,,,,,0.06663705019991115,,,,,,,,0.2665482007996446,,0.06663705019991115
2023-12-21 06:17:42,0.1111111111111111,,,,,,,,,,11.2,,,,,,,,
2023-12-21 06:18:42,0.11112592790149799,,,,,,,,,,,,,,,,,,
2023-12-21 06:19:42,0.1111111111111111,,,,,,,,,,,,,,,,0.26666666666666666,,
2023-12-21 06:20:42,0.1111111111111111,,,,,,,,,,,,,,,,,,
2023-12-21 06:21:42,0.1111111111111111,1.5777777777777777,1.8666666666666667,,,,,,0.06666666666666667,,,,,,,,,,0.06666666666666667
2023-12-21 06:22:42,0.1111111111111111,,,,,,,,,,,,,,,,0.26666666666666666,,
2023-12-21 06:23:42,0.1111111111111111,1.5777777777777777,1.8666666666666667,,,,,,,,,,,,,,,,
2023-12-21 06:24:42,0.1111111111111111,,,,,,,,,,,,,,,,,,
