,"{namespace=""test-fgk6ih-1""}"
2023-12-21 05:58:42,397.1493779618154
2023-12-21 05:59:42,13690.251166693055
2023-12-21 06:00:42,41600.4977070668
2023-12-21 06:01:42,80864.61614376702
2023-12-21 06:02:42,133721.2619800319
2023-12-21 06:03:42,196263.96386465055
2023-12-21 06:04:42,267674.171835048
2023-12-21 06:05:42,346109.3918482539
2023-12-21 06:06:42,429838.75132557424
2023-12-21 06:07:42,517597.63524822134
2023-12-21 06:08:42,604170.2299615882
2023-12-21 06:09:42,680448.8600516384
2023-12-21 06:10:42,745851.9900331196
2023-12-21 06:11:42,799648.2741933764
2023-12-21 06:12:42,842924.4489900501
2023-12-21 06:13:42,882897.5460519703
2023-12-21 06:14:42,923868.6340807946
2023-12-21 06:15:42,965307.867511516
2023-12-21 06:16:42,1006180.2746243814
2023-12-21 06:17:42,1047606.1539240238
2023-12-21 06:18:42,1088483.7176386393
2023-12-21 06:19:42,1129726.317526347
2023-12-21 06:20:42,1170694.4666264507
2023-12-21 06:21:42,1211985.944245384
2023-12-21 06:22:42,1253038.4793956303
2023-12-21 06:23:42,1293792.148773912
2023-12-21 06:24:42,1334543.5892985961
