,"{instance=""52.186.45.168:443"",job=""kubernetes-apiservers""}"
2023-12-21 05:57:42,5.68807424
2023-12-21 05:58:42,4.539092992
2023-12-21 05:59:42,6.196310016
2023-12-21 06:00:42,7.114907648
2023-12-21 06:01:42,7.188656128
2023-12-21 06:02:42,7.899123712
2023-12-21 06:03:42,8.595881984
2023-12-21 06:04:42,8.698187776
2023-12-21 06:05:42,8.732516352
2023-12-21 06:06:42,9.086816256
2023-12-21 06:07:42,9.406820352
2023-12-21 06:08:42,8.792297472
2023-12-21 06:09:42,9.135960064
2023-12-21 06:10:42,9.464786944
2023-12-21 06:11:42,8.50427904
2023-12-21 06:12:42,9.404956672
2023-12-21 06:13:42,9.405652992
2023-12-21 06:14:42,9.277816832
2023-12-21 06:15:42,9.210826752
2023-12-21 06:16:42,9.227157504
2023-12-21 06:17:42,8.865992704
2023-12-21 06:18:42,8.86700032
2023-12-21 06:19:42,8.158547968
2023-12-21 06:20:42,8.158547968
2023-12-21 06:21:42,8.11442176
2023-12-21 06:22:42,8.11442176
2023-12-21 06:23:42,8.008175616
2023-12-21 06:24:42,8.021123072
