,"{namespace=""cluster-loader""}","{namespace=""test-fgk6ih-1""}"
2023-12-21 05:58:42,6.0,1068.0
2023-12-21 05:59:42,6.0,3292.0
2023-12-21 06:00:42,6.0,5410.0
2023-12-21 06:01:42,6.0,6808.0
2023-12-21 06:02:42,6.0,7842.0
2023-12-21 06:03:42,6.0,8594.0
2023-12-21 06:04:42,6.0,9330.0
2023-12-21 06:05:42,6.0,10040.0
2023-12-21 06:06:42,6.0,10580.0
2023-12-21 06:07:42,6.0,11212.0
2023-12-21 06:08:42,6.0,15126.0
2023-12-21 06:09:42,6.0,20310.0
2023-12-21 06:10:42,6.0,25890.0
2023-12-21 06:11:42,6.0,31168.0
2023-12-21 06:12:42,6.0,35344.0
2023-12-21 06:13:42,4.0,34548.0
2023-12-21 06:14:42,6.0,34320.0
2023-12-21 06:15:42,6.0,33840.0
2023-12-21 06:16:42,6.0,34244.0
2023-12-21 06:17:42,6.0,34782.0
2023-12-21 06:18:42,6.0,34758.0
2023-12-21 06:19:42,6.0,34772.0
2023-12-21 06:20:42,6.0,34222.0
2023-12-21 06:21:42,6.0,35142.0
2023-12-21 06:22:42,6.0,34964.0
2023-12-21 06:23:42,2.0,35036.0
2023-12-21 06:24:42,6.0,34984.0
