,"{namespace=""cluster-loader""}","{namespace=""test-fgk6ih-1""}"
2023-12-21 05:58:42,212.0,23442.0
2023-12-21 05:59:42,228.0,72542.0
2023-12-21 06:00:42,231.0,130023.0
2023-12-21 06:01:42,232.0,190749.0
2023-12-21 06:02:42,232.0,252807.0
2023-12-21 06:03:42,235.0,318555.0
2023-12-21 06:04:42,235.0,387225.0
2023-12-21 06:05:42,235.0,453636.0
2023-12-21 06:06:42,235.0,520900.0
2023-12-21 06:07:42,235.0,579206.0
2023-12-21 06:08:42,235.0,638863.0
2023-12-21 06:09:42,235.0,697852.0
2023-12-21 06:10:42,235.0,751611.0
2023-12-21 06:11:42,235.0,795019.0
2023-12-21 06:12:42,235.0,828856.0
2023-12-21 06:13:42,158.0,813149.0
2023-12-21 06:14:42,235.0,806281.0
2023-12-21 06:15:42,235.0,796631.0
2023-12-21 06:16:42,247.0,838995.0
2023-12-21 06:17:42,266.0,924653.0
2023-12-21 06:18:42,292.0,1105673.0
2023-12-21 06:19:42,332.0,1315725.0
2023-12-21 06:20:42,365.0,1504921.0
2023-12-21 06:21:42,393.0,1749903.0
2023-12-21 06:22:42,417.0,1934022.0
2023-12-21 06:23:42,149.0,2112826.0
2023-12-21 06:24:42,486.0,2272502.0
