,{}
2023-12-21 08:38:25,0.0
2023-12-21 08:39:25,0.0
2023-12-21 08:40:25,0.0
2023-12-21 08:41:25,0.0
2023-12-21 08:42:25,0.0
2023-12-21 08:43:25,0.0
2023-12-21 08:44:25,0.0
2023-12-21 08:45:25,0.0
2023-12-21 08:46:25,0.0
2023-12-21 08:47:25,0.0
2023-12-21 08:48:25,0.0
2023-12-21 08:49:25,0.0
2023-12-21 08:50:25,0.0
2023-12-21 08:51:25,0.0
2023-12-21 08:52:25,0.0
2023-12-21 08:53:25,0.0
2023-12-21 08:54:25,61760.106599026534
2023-12-21 08:55:25,120974.9828736934
2023-12-21 08:56:25,171075.36408813094
2023-12-21 08:57:25,214892.0837216943
2023-12-21 08:58:25,252385.06886215406
2023-12-21 08:59:25,283901.82061143575
2023-12-21 09:00:25,309174.225061514
2023-12-21 09:01:25,328350.6445114938
2023-12-21 09:02:25,341468.1841462718
2023-12-21 09:03:25,348615.5219465048
2023-12-21 09:04:25,350025.8924878083
2023-12-21 09:05:25,349787.9612720184
