,"sidecar_injection_requests_total{app=""istiod"",install_operator_istio_io_owning_resource=""unknown"",instance=""10.241.36.106:15014"",istio=""istiod"",istio_io_rev=""asm-1-17"",job=""kubernetes-pods"",kubernetes_azure_com_managedby=""aks"",namespace=""aks-istio-system"",operator_istio_io_component=""Pilot"",pod=""istiod-asm-1-17-69dd99f667-djxxq"",pod_template_hash=""69dd99f667"",sidecar_istio_io_inject=""false""}"
2023-12-21 08:38:25,3.0
2023-12-21 08:39:25,153.0
2023-12-21 08:40:25,2325.0
2023-12-21 08:41:25,3848.0
2023-12-21 08:42:25,5532.0
2023-12-21 08:43:25,6738.0
2023-12-21 08:44:25,8126.0
2023-12-21 08:45:25,9461.0
2023-12-21 08:46:25,10675.0
2023-12-21 08:47:25,11735.0
2023-12-21 08:48:25,12954.0
2023-12-21 08:49:25,14362.0
2023-12-21 08:50:25,15003.0
2023-12-21 08:51:25,15003.0
2023-12-21 08:52:25,15003.0
2023-12-21 08:53:25,15003.0
