,{}
2023-12-21 08:38:25,3.0
2023-12-21 08:39:25,160.0
2023-12-21 08:40:25,2288.0
2023-12-21 08:41:25,3835.0
2023-12-21 08:42:25,5254.0
2023-12-21 08:43:25,6689.0
2023-12-21 08:44:25,8049.0
2023-12-21 08:45:25,9409.0
2023-12-21 08:46:25,10531.0
2023-12-21 08:47:25,11631.0
2023-12-21 08:48:25,12855.0
2023-12-21 08:49:25,14245.0
2023-12-21 08:50:25,15003.0
2023-12-21 08:51:25,15003.0
2023-12-21 08:52:25,15003.0
2023-12-21 08:53:25,15003.0
2023-12-21 08:54:25,15003.0
2023-12-21 08:55:25,15003.0
2023-12-21 08:56:25,15003.0
2023-12-21 08:57:25,15003.0
2023-12-21 08:58:25,15003.0
2023-12-21 08:59:25,15003.0
2023-12-21 09:00:25,15003.0
2023-12-21 09:01:25,15003.0
2023-12-21 09:02:25,15003.0
2023-12-21 09:03:25,15003.0
2023-12-21 09:04:25,15003.0
2023-12-21 09:05:25,15003.0
