,"{container=""coredns""}"
2023-12-21 08:37:25,1.0
2023-12-21 08:38:25,1.0
2023-12-21 08:39:25,1.0
2023-12-21 08:40:25,1.0
2023-12-21 08:41:25,1.0
2023-12-21 08:42:25,1.0
2023-12-21 08:43:25,1.0
2023-12-21 08:44:25,1.0
2023-12-21 08:45:25,1.0
2023-12-21 08:46:25,1.0
2023-12-21 08:47:25,1.0
2023-12-21 08:48:25,1.0
2023-12-21 08:49:25,1.0
2023-12-21 08:50:25,1.0
2023-12-21 08:51:25,1.0
2023-12-21 08:52:25,1.0
2023-12-21 08:53:25,1.0
2023-12-21 08:54:25,1.0
2023-12-21 08:55:25,1.0
2023-12-21 08:56:25,1.0
2023-12-21 08:57:25,1.0
2023-12-21 08:58:25,1.0
2023-12-21 08:59:25,1.0
2023-12-21 09:00:25,1.0
2023-12-21 09:01:25,1.0
2023-12-21 09:02:25,1.0
2023-12-21 09:03:25,1.0
2023-12-21 09:04:25,1.0
2023-12-21 09:05:25,1.0
