,"{namespace=""test-u5tr2j-1""}"
2023-12-21 08:40:25,2136.523536641514
2023-12-21 08:41:25,5544.026712159637
2023-12-21 08:42:25,8879.008737344233
2023-12-21 08:43:25,13342.333321472992
2023-12-21 08:44:25,17602.535509146954
2023-12-21 08:45:25,21303.318479231184
2023-12-21 08:46:25,24470.80221533208
2023-12-21 08:47:25,26763.309111511866
2023-12-21 08:48:25,27080.258289516878
2023-12-21 08:49:25,27592.07862650592
2023-12-21 08:50:25,29419.401889289704
2023-12-21 08:51:25,28838.56877447286
2023-12-21 08:52:25,28633.895590582153
2023-12-21 08:53:25,28508.360046388585
2023-12-21 08:54:25,28418.826282638045
2023-12-21 08:55:25,28350.19963712985
2023-12-21 08:56:25,28295.28211219659
2023-12-21 08:57:25,28250.03428302124
2023-12-21 08:58:25,28211.948932743366
2023-12-21 08:59:25,28179.35767239995
2023-12-21 09:00:25,28151.102543491754
2023-12-21 09:01:25,28126.33360184116
2023-12-21 09:02:25,28104.42227280423
2023-12-21 09:03:25,28084.88604728321
2023-12-21 09:04:25,28067.348258970374
2023-12-21 09:05:25,28051.508598594814
