,"{namespace=""cluster-loader""}","{namespace=""test-u5tr2j-1""}"
2023-12-21 08:38:25,11.382466666666666,
2023-12-21 08:39:25,23.382466666666666,
2023-12-21 08:40:25,35.382466666666666,7486.812925291905
2023-12-21 08:41:25,47.382466666666666,21541.894902623808
2023-12-21 08:42:25,59.382466666666666,40676.07262681587
2023-12-21 08:43:25,71.38246666666667,66516.90464187445
2023-12-21 08:44:25,83.38246666666666,97498.8408783801
2023-12-21 08:45:25,95.38246666666666,133289.8846437448
2023-12-21 08:46:25,107.38246666666666,174053.88396982086
2023-12-21 08:47:25,119.38246666666667,219721.17599099816
2023-12-21 08:48:25,131.3824666666667,269637.95398257877
2023-12-21 08:49:25,143.38246666666666,324647.0917387403
2023-12-21 08:50:25,155.3824666666667,385291.7279486674
2023-12-21 08:51:25,167.38246666666666,445293.9390848563
2023-12-21 08:52:25,179.38246666666666,505293.9160685112
2023-12-21 08:53:25,191.3824666666667,565293.9389674792
2023-12-21 08:54:25,203.3824666666667,625293.9390893434
2023-12-21 08:55:25,215.38246666666666,685293.9390132736
2023-12-21 08:56:25,227.3824666666667,745293.9389350878
2023-12-21 08:57:25,239.3824666666667,805293.938929047
2023-12-21 08:58:25,251.38246666666663,865293.938991849
2023-12-21 08:59:25,263.38246666666663,925293.8666303717
2023-12-21 09:00:25,275.38246666666663,985293.9390506651
2023-12-21 09:01:25,287.38246666666663,1045293.9391146732
2023-12-21 09:02:25,299.3824666666667,1105293.9389769584
2023-12-21 09:03:25,311.38246666666663,1165293.9389068037
2023-12-21 09:04:25,323.38246666666663,1225293.9389721244
2023-12-21 09:05:25,335.3824666666667,1285293.8959027433
