,"{container=""discovery""}"
2023-12-21 08:37:25,0.19103744
2023-12-21 08:38:25,0.2093056
2023-12-21 08:39:25,0.245194752
2023-12-21 08:40:25,6.002741248
2023-12-21 08:41:25,9.443684352
2023-12-21 08:42:25,11.472203776
2023-12-21 08:43:25,15.071158272
2023-12-21 08:44:25,17.063616512
2023-12-21 08:45:25,21.16667392
2023-12-21 08:46:25,23.026454528
2023-12-21 08:47:25,26.936242176
2023-12-21 08:48:25,28.697587712
2023-12-21 08:49:25,30.112256
2023-12-21 08:50:25,33.234685952
2023-12-21 08:51:25,35.104997376
2023-12-21 08:52:25,36.449918976
2023-12-21 08:53:25,37.953667072
2023-12-21 08:54:25,37.953667072
2023-12-21 08:55:25,37.953667072
2023-12-21 08:56:25,37.953667072
2023-12-21 08:57:25,37.953667072
2023-12-21 08:58:25,10.686476288
2023-12-21 08:59:25,11.861028864
2023-12-21 09:00:25,13.544853504
2023-12-21 09:01:25,15.070871552
2023-12-21 09:02:25,16.474574848
2023-12-21 09:03:25,17.72402688
2023-12-21 09:04:25,18.374529024
2023-12-21 09:05:25,18.37406208
