,"{namespace=""cluster-loader""}","{namespace=""test-u5tr2j-1""}"
2023-12-21 08:38:25,6.0,
2023-12-21 08:39:25,6.0,144.0
2023-12-21 08:40:25,6.0,2724.0
2023-12-21 08:41:25,6.0,5674.0
2023-12-21 08:42:25,6.0,8170.0
2023-12-21 08:43:25,6.0,10970.0
2023-12-21 08:44:25,6.0,13650.0
2023-12-21 08:45:25,6.0,16508.0
2023-12-21 08:46:25,6.0,19226.0
2023-12-21 08:47:25,6.0,22260.0
2023-12-21 08:48:25,6.0,24940.0
2023-12-21 08:49:25,6.0,27268.0
2023-12-21 08:50:25,6.0,29994.0
2023-12-21 08:51:25,6.0,30000.0
2023-12-21 08:52:25,6.0,30000.0
2023-12-21 08:53:25,6.0,30000.0
2023-12-21 08:54:25,6.0,30000.0
2023-12-21 08:55:25,6.0,30000.0
2023-12-21 08:56:25,6.0,30000.0
2023-12-21 08:57:25,6.0,30000.0
2023-12-21 08:58:25,6.0,30000.0
2023-12-21 08:59:25,6.0,30000.0
2023-12-21 09:00:25,6.0,30000.0
2023-12-21 09:01:25,6.0,30000.0
2023-12-21 09:02:25,6.0,30000.0
2023-12-21 09:03:25,6.0,30000.0
2023-12-21 09:04:25,6.0,30000.0
2023-12-21 09:05:25,6.0,30000.0
