,"{namespace=""cluster-loader""}","{namespace=""test-u5tr2j-1""}"
2023-12-21 08:38:25,204.0,
2023-12-21 08:39:25,445.0,1258.0
2023-12-21 08:40:25,495.0,25209.0
2023-12-21 08:41:25,497.0,46958.0
2023-12-21 08:42:25,507.0,65754.0
2023-12-21 08:43:25,507.0,85351.0
2023-12-21 08:44:25,507.0,103677.0
2023-12-21 08:45:25,507.0,120788.0
2023-12-21 08:46:25,507.0,135720.0
2023-12-21 08:47:25,507.0,149212.0
2023-12-21 08:48:25,507.0,162666.0
2023-12-21 08:49:25,507.0,175409.0
2023-12-21 08:50:25,507.0,187932.0
2023-12-21 08:51:25,520.0,195197.0
2023-12-21 08:52:25,520.0,201248.0
2023-12-21 08:53:25,520.0,206671.0
2023-12-21 08:54:25,552.0,338750.0
2023-12-21 08:55:25,596.0,561261.0
2023-12-21 08:56:25,614.0,655743.0
2023-12-21 08:57:25,619.0,739585.0
2023-12-21 08:58:25,631.0,813537.0
2023-12-21 08:59:25,641.0,874239.0
2023-12-21 09:00:25,666.0,925143.0
2023-12-21 09:01:25,666.0,966670.0
2023-12-21 09:02:25,666.0,998318.0
2023-12-21 09:03:25,666.0,1020955.0
2023-12-21 09:04:25,666.0,1031076.0
2023-12-21 09:05:25,666.0,1031076.0
