,"{namespace=""cluster-loader""}","{namespace=""test-u5tr2j-1""}"
2023-12-21 08:38:25,141.425,
2023-12-21 08:39:25,324.0899603174603,
2023-12-21 08:40:25,363.82111515151513,5694.668721821541
2023-12-21 08:41:25,360.2865612698413,10584.142095677898
2023-12-21 08:42:25,357.927738791423,14350.095877839773
2023-12-21 08:43:25,354.6944848484848,20245.145696352785
2023-12-21 08:44:25,352.4494757834758,25080.96107857295
2023-12-21 08:45:25,350.7996286738351,30180.964255303334
2023-12-21 08:46:25,349.53594733893556,35124.795683411416
2023-12-21 08:47:25,348.537044534413,40545.74299780578
2023-12-21 08:48:25,347.7275873015873,44959.51474511351
2023-12-21 08:49:25,347.0583465926611,49144.38486090642
2023-12-21 08:50:25,346.49579137254904,54741.64841904918
2023-12-21 08:51:25,358.22909881032547,59602.713810097746
2023-12-21 08:52:25,357.8008958503799,64633.31534838244
2023-12-21 08:53:25,357.42777975763784,69044.94151956048
2023-12-21 08:54:25,357.0997625207297,71314.24124100969
2023-12-21 08:55:25,356.8091331991952,78540.33716645146
2023-12-21 08:56:25,360.6234511951952,84822.99119741737
2023-12-21 08:57:25,360.38691723466405,91156.5519334036
2023-12-21 08:58:25,360.1734078558135,97412.85382258441
2023-12-21 08:59:25,359.9797171522765,103696.82035178991
2023-12-21 09:00:25,369.8873711762311,109937.30206225462
2023-12-21 09:01:25,369.72228605449794,116276.18827154781
2023-12-21 09:02:25,369.57065130900844,122536.40482778505
2023-12-21 09:03:25,369.43088744844215,128806.70550592105
2023-12-21 09:04:25,369.3016529771351,132933.40229880958
2023-12-21 09:05:25,369.1818011957412,132852.5658462462
