,"{container=""discovery"",pod=""istiod-asm-1-17-78766c7586-f274s""}"
2023-08-26 00:08:30,47.915008
2023-08-26 00:09:30,48.144384
2023-08-26 00:10:30,50.327552
2023-08-26 00:11:30,50.245632
2023-08-26 00:12:30,56.057856
2023-08-26 00:13:30,58.146816
2023-08-26 00:14:30,70.971392
2023-08-26 00:15:30,71.098368
2023-08-26 00:16:30,71.041024
2023-08-26 00:17:30,70.914048
2023-08-26 00:18:30,68.980736
2023-08-26 00:19:30,70.320128
2023-08-26 00:20:30,70.537216
2023-08-26 00:21:30,70.418432
2023-08-26 00:22:30,70.508544
2023-08-26 00:23:30,70.508544
2023-08-26 00:24:30,70.356992
2023-08-26 00:25:30,70.356992
2023-08-26 00:26:30,69.81632
2023-08-26 00:27:30,69.689344
2023-08-26 00:28:30,70.08256
