,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 01:35:39,1000.0,1000.0
2023-08-26 01:37:39,1000.0,
2023-08-26 01:38:39,,1000.0
2023-08-26 01:39:39,,1000.0
2023-08-26 01:40:39,1000.0,
2023-08-26 01:41:39,1000.0,
2023-08-26 01:42:39,1000.0,1000.0
2023-08-26 01:43:39,1000.0,1000.0
2023-08-26 01:44:39,1000.0,1000.0
2023-08-26 01:45:39,1000.0,1000.0
2023-08-26 01:46:39,1000.0,1000.0
2023-08-26 01:47:39,1000.0,
2023-08-26 01:48:39,,1000.0
2023-08-26 01:49:39,1000.0,1000.0
2023-08-26 01:50:39,1000.0,1000.0
2023-08-26 01:51:39,1000.0,1000.0
2023-08-26 01:52:39,,1000.0
2023-08-26 01:53:39,1000.0,1000.0
2023-08-26 01:54:39,1000.0,1000.0
2023-08-26 01:55:39,1000.0,
