,"{resource=""apiServerIPInfo""}","{resource=""apiservices.apiregistration.k8s.io""}","{resource=""authorizationpolicies.security.istio.io""}","{resource=""certificatesigningrequests.certificates.k8s.io""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""controllerrevisions.apps""}","{resource=""cronjobs.batch""}","{resource=""csidrivers.storage.k8s.io""}","{resource=""csinodes.storage.k8s.io""}","{resource=""csistoragecapacities.storage.k8s.io""}","{resource=""customresourcedefinitions.apiextensions.k8s.io""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""destinationrules.networking.istio.io""}","{resource=""endpoints""}","{resource=""endpointslices.discovery.k8s.io""}","{resource=""envoyfilters.networking.istio.io""}","{resource=""events""}","{resource=""flowschemas.flowcontrol.apiserver.k8s.io""}","{resource=""gateways.networking.istio.io""}","{resource=""horizontalpodautoscalers.autoscaling""}","{resource=""ingressclasses.networking.k8s.io""}","{resource=""ingresses.networking.k8s.io""}","{resource=""istiooperators.install.istio.io""}","{resource=""jobs.batch""}","{resource=""leases.coordination.k8s.io""}","{resource=""limitranges""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""networkpolicies.networking.k8s.io""}","{resource=""nodes""}","{resource=""peerauthentications.security.istio.io""}","{resource=""persistentvolumeclaims""}","{resource=""persistentvolumes""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""podsecuritypolicies.policy""}","{resource=""podtemplates""}","{resource=""priorityclasses.scheduling.k8s.io""}","{resource=""prioritylevelconfigurations.flowcontrol.apiserver.k8s.io""}","{resource=""proxyconfigs.networking.istio.io""}","{resource=""replicasets.apps""}","{resource=""replicationcontrollers""}","{resource=""requestauthentications.security.istio.io""}","{resource=""resourcequotas""}","{resource=""rolebindings.rbac.authorization.k8s.io""}","{resource=""roles.rbac.authorization.k8s.io""}","{resource=""runtimeclasses.node.k8s.io""}","{resource=""secrets""}","{resource=""serviceaccounts""}","{resource=""serviceentries.networking.istio.io""}","{resource=""services""}","{resource=""sidecars.networking.istio.io""}","{resource=""statefulsets.apps""}","{resource=""storageclasses.storage.k8s.io""}","{resource=""telemetries.telemetry.istio.io""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""virtualservices.networking.istio.io""}","{resource=""volumeattachments.storage.k8s.io""}","{resource=""volumesnapshotclasses.snapshot.storage.k8s.io""}","{resource=""volumesnapshotcontents.snapshot.storage.k8s.io""}","{resource=""volumesnapshots.snapshot.storage.k8s.io""}","{resource=""wasmplugins.extensions.istio.io""}","{resource=""workloadentries.networking.istio.io""}","{resource=""workloadgroups.networking.istio.io""}"
2023-08-26 01:35:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:36:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:37:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:38:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:39:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:40:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:41:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:42:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:43:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-26 01:44:39,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
