,"{container=""discovery"",pod=""istiod-asm-1-17-dc8d955c6-gzqwt""}"
2023-08-26 00:30:17,46.481408
2023-08-26 00:31:17,46.698496
2023-08-26 00:32:17,48.930816
2023-08-26 00:33:17,48.848896
2023-08-26 00:34:17,48.59904
2023-08-26 00:35:17,50.221056
2023-08-26 00:36:17,69.332992
2023-08-26 00:37:17,69.627904
2023-08-26 00:38:17,69.521408
2023-08-26 00:39:17,69.545984
2023-08-26 00:40:17,68.612096
2023-08-26 00:41:17,79.62624
2023-08-26 00:42:17,78.217216
2023-08-26 00:43:17,78.352384
2023-08-26 00:44:17,73.629696
2023-08-26 00:45:17,74.170368
2023-08-26 00:46:17,74.829824
2023-08-26 00:47:17,75.20256
2023-08-26 00:48:17,75.399168
2023-08-26 00:49:17,75.173888
2023-08-26 00:50:17,75.870208
