,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 00:52:04,37.769216,38.080512
2023-08-26 00:53:04,35.622912,35.753984
2023-08-26 00:54:04,35.61472,35.815424
2023-08-26 00:55:04,36.052992,36.179968
2023-08-26 00:56:04,36.007936,36.528128
2023-08-26 00:57:04,36.175872,36.950016
2023-08-26 00:58:04,39.231488,39.960576
2023-08-26 00:59:04,39.391232,39.108608
2023-08-26 01:00:04,39.456768,39.653376
2023-08-26 01:01:04,39.337984,38.862848
2023-08-26 01:02:04,35.332096,38.989824
2023-08-26 01:03:04,35.08224,35.405824
2023-08-26 01:04:04,35.26656,35.606528
2023-08-26 01:05:04,36.397056,36.70016
2023-08-26 01:06:04,36.524032,36.818944
2023-08-26 01:07:04,36.655104,37.036032
2023-08-26 01:08:04,35.34848,37.175296
2023-08-26 01:09:04,35.168256,35.426304
2023-08-26 01:10:04,36.118528,36.712448
2023-08-26 01:11:04,36.257792,36.790272
2023-08-26 01:12:04,35.131392,37.04832
