,"{container=""discovery"",pod=""istiod-asm-1-17-55fcd9c75c-blvzq""}"
2023-08-26 00:52:04,43.851776
2023-08-26 00:53:04,46.649344
2023-08-26 00:54:04,46.592
2023-08-26 00:55:04,46.657536
2023-08-26 00:56:04,48.320512
2023-08-26 00:57:04,48.836608
2023-08-26 00:58:04,68.714496
2023-08-26 00:59:04,68.968448
2023-08-26 01:00:04,60.858368
2023-08-26 01:01:04,60.985344
2023-08-26 01:02:04,61.108224
2023-08-26 01:03:04,62.7712
2023-08-26 01:04:04,60.940288
2023-08-26 01:05:04,61.321216
2023-08-26 01:06:04,61.39904
2023-08-26 01:07:04,61.411328
2023-08-26 01:08:04,58.24512
2023-08-26 01:09:04,60.379136
2023-08-26 01:10:04,63.623168
2023-08-26 01:11:04,65.589248
2023-08-26 01:12:04,65.585152
