,"{container=""discovery"",pod=""istiod-asm-1-17-86767d544c-g942l""}"
2023-08-26 01:13:52,56.004608
2023-08-26 01:14:52,57.839616
2023-08-26 01:15:52,57.843712
2023-08-26 01:16:52,57.847808
2023-08-26 01:17:52,57.847808
2023-08-26 01:18:52,59.179008
2023-08-26 01:19:52,79.68768
2023-08-26 01:20:52,79.704064
2023-08-26 01:21:52,70.668288
2023-08-26 01:22:52,71.102464
2023-08-26 01:23:52,71.000064
2023-08-26 01:24:52,71.860224
2023-08-26 01:25:52,71.315456
2023-08-26 01:26:52,71.31136
2023-08-26 01:27:52,69.115904
2023-08-26 01:28:52,69.410816
2023-08-26 01:29:52,69.81632
2023-08-26 01:30:52,69.824512
2023-08-26 01:31:52,71.364608
2023-08-26 01:32:52,71.356416
2023-08-26 01:33:52,67.477504
