,"{container=""istio-proxy"",namespace=""cluster-loader""}"
2023-08-10 18:49:34,0.04513792
2023-08-10 18:50:34,0.051064832
2023-08-10 18:51:34,0.05328896
2023-08-10 18:52:34,0.062189568
2023-08-10 18:53:34,0.065155072
2023-08-10 18:54:34,0.069210112
2023-08-10 18:55:34,0.073109504
2023-08-10 18:56:34,0.07573504
2023-08-10 18:57:34,0.076582912
2023-08-10 18:58:34,0.08257536
2023-08-10 18:59:34,0.090845184
2023-08-10 19:00:34,0.09668608
2023-08-10 19:01:34,0.101322752
2023-08-10 19:02:34,0.108720128
2023-08-10 19:03:34,0.11071488
2023-08-10 19:04:34,0.114495488
2023-08-10 19:05:34,0.113569792
2023-08-10 19:06:34,0.116502528
2023-08-10 19:07:34,0.118300672
2023-08-10 19:08:34,0.125087744
