,"{container=""discovery"",pod=""istiod-asm-1-17-544989fc5c-frbpc""}"
2023-08-10 18:47:34,1.0
2023-08-10 18:48:34,1.0
2023-08-10 18:49:34,1.0
2023-08-10 18:50:34,1.0
2023-08-10 18:51:34,1.0
2023-08-10 18:52:34,1.0
2023-08-10 18:53:34,1.0
2023-08-10 18:54:34,1.0
2023-08-10 18:55:34,1.0
2023-08-10 18:56:34,1.0
2023-08-10 18:57:34,1.0
2023-08-10 18:58:34,1.0
2023-08-10 18:59:34,1.0
2023-08-10 19:00:34,1.0
2023-08-10 19:01:34,1.0
2023-08-10 19:02:34,1.0
2023-08-10 19:03:34,1.0
2023-08-10 19:04:34,1.0
2023-08-10 19:05:34,1.0
2023-08-10 19:06:34,1.0
2023-08-10 19:07:34,1.0
2023-08-10 19:08:34,1.0
