,"{container=""coredns"",pod=""coredns-85f7c69958-55njh""}","{container=""coredns"",pod=""coredns-85f7c69958-ch46k""}","{container=""coredns"",pod=""coredns-85f7c69958-njl7k""}","{container=""coredns"",pod=""coredns-85f7c69958-nlgvs""}","{container=""coredns"",pod=""coredns-85f7c69958-rb8w8""}"
2023-08-10 18:46:34,0.034033664,,0.029605888,0.029589504,0.029130752
2023-08-10 18:47:34,0.034328576,0.033325056,0.030011392,0.03078144,0.029196288
2023-08-10 18:48:34,0.032555008,0.031264768,0.030302208,0.031281152,0.030539776
2023-08-10 18:49:34,0.032718848,0.031440896,0.028565504,0.03137536,0.03080192
2023-08-10 18:50:34,0.033902592,0.032907264,0.02871296,0.029863936,0.029310976
2023-08-10 18:51:34,0.03397632,0.033083392,0.029085696,0.029933568,0.029466624
2023-08-10 18:52:34,0.034131968,0.033329152,0.030195712,0.031531008,0.030150656
2023-08-10 18:53:34,0.034430976,0.03354624,0.03072,0.031567872,0.03043328
2023-08-10 18:54:34,0.033419264,0.03217408,0.031232,0.031637504,0.030580736
2023-08-10 18:55:34,0.034418688,0.033329152,0.02967552,0.031895552,0.030810112
2023-08-10 18:56:34,0.034111488,0.033513472,0.030101504,0.030326784,0.029708288
2023-08-10 18:57:34,0.034246656,0.031821824,0.030695424,0.030220288,0.030027776
2023-08-10 18:58:34,0.033296384,0.032165888,0.03084288,0.031309824,0.030937088
2023-08-10 18:59:34,0.033632256,0.032587776,0.029663232,0.031227904,0.031113216
2023-08-10 19:00:34,0.034484224,0.03366912,0.029822976,0.031043584,0.030711808
2023-08-10 19:01:34,0.034414592,0.033792,0.030683136,0.030830592,0.030941184
2023-08-10 19:02:34,0.03442688,0.033820672,0.030826496,0.031911936,0.030814208
2023-08-10 19:03:34,0.03352576,0.03289088,0.031383552,0.032108544,0.031879168
2023-08-10 19:04:34,0.033681408,0.032444416,0.031322112,0.032043008,0.03182592
2023-08-10 19:05:34,0.0344064,0.033558528,0.029868032,0.03231744,0.031854592
2023-08-10 19:06:34,0.03446784,0.034025472,0.030138368,0.030384128,0.030162944
2023-08-10 19:07:34,0.03366912,0.034299904,0.031051776,0.031592448,0.030158848
2023-08-10 19:08:34,0.033480704,0.034377728,0.031051776,0.031916032,0.031232
