,"{container=""discovery"",pod=""istiod-asm-1-17-544989fc5c-frbpc""}"
2023-08-10 18:46:34,0.129773568
2023-08-10 18:47:34,0.129900544
2023-08-10 18:48:34,0.126357504
2023-08-10 18:49:34,0.132694016
2023-08-10 18:50:34,0.143273984
2023-08-10 18:51:34,0.145944576
2023-08-10 18:52:34,0.144953344
2023-08-10 18:53:34,0.147836928
2023-08-10 18:54:34,0.14911488
2023-08-10 18:55:34,0.147832832
2023-08-10 18:56:34,0.150519808
2023-08-10 18:57:34,0.153812992
2023-08-10 18:58:34,0.154894336
2023-08-10 18:59:34,0.156123136
2023-08-10 19:00:34,0.159113216
2023-08-10 19:01:34,0.159248384
2023-08-10 19:02:34,0.165797888
2023-08-10 19:03:34,0.169385984
2023-08-10 19:04:34,0.167641088
2023-08-10 19:05:34,0.169218048
2023-08-10 19:06:34,0.172429312
2023-08-10 19:07:34,0.175337472
2023-08-10 19:08:34,0.190603264
