,"{namespace=""cluster-loader"",pod=""exec-pod-7dcff9ff7-js2rk""}","{namespace=""cluster-loader"",pod=""exec-pod-7dcff9ff7-l7kk9""}","{namespace=""cluster-loader"",pod=""exec-pod-7dcff9ff7-mc5j5""}"
2023-08-10 18:49:34,0.043450368,0.04513792,0.042668032
2023-08-10 18:50:34,0.051064832,0.049516544,0.046661632
2023-08-10 18:51:34,0.05328896,0.052129792,0.052215808
2023-08-10 18:52:34,0.062189568,0.060801024,0.060424192
2023-08-10 18:53:34,0.063238144,0.064126976,0.065155072
2023-08-10 18:54:34,0.06883328,0.069210112,0.068866048
2023-08-10 18:55:34,0.07190528,0.073097216,0.073109504
2023-08-10 18:56:34,0.071675904,0.075091968,0.07573504
2023-08-10 18:57:34,0.074924032,0.075464704,0.076582912
2023-08-10 18:58:34,0.082489344,0.078630912,0.08257536
2023-08-10 18:59:34,0.084103168,0.082296832,0.090845184
2023-08-10 19:00:34,0.092155904,0.091209728,0.09668608
2023-08-10 19:01:34,0.09627648,0.096632832,0.101322752
2023-08-10 19:02:34,0.108720128,0.097460224,0.1038336
2023-08-10 19:03:34,0.11071488,0.101224448,0.109944832
2023-08-10 19:04:34,0.114495488,0.110686208,0.110485504
2023-08-10 19:05:34,0.113569792,0.109060096,0.110907392
2023-08-10 19:06:34,0.115462144,0.11495424,0.116502528
2023-08-10 19:07:34,0.118300672,0.114348032,0.11419648
2023-08-10 19:08:34,0.125087744,0.118317056,0.12091392
