,"{resource=""apiServerIPInfo""}","{resource=""apiservices.apiregistration.k8s.io""}","{resource=""authorizationpolicies.security.istio.io""}","{resource=""certificatesigningrequests.certificates.k8s.io""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""controllerrevisions.apps""}","{resource=""cronjobs.batch""}","{resource=""csidrivers.storage.k8s.io""}","{resource=""csinodes.storage.k8s.io""}","{resource=""csistoragecapacities.storage.k8s.io""}","{resource=""customresourcedefinitions.apiextensions.k8s.io""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""destinationrules.networking.istio.io""}","{resource=""endpoints""}","{resource=""endpointslices.discovery.k8s.io""}","{resource=""envoyfilters.networking.istio.io""}","{resource=""events""}","{resource=""flowschemas.flowcontrol.apiserver.k8s.io""}","{resource=""gateways.networking.istio.io""}","{resource=""horizontalpodautoscalers.autoscaling""}","{resource=""ingressclasses.networking.k8s.io""}","{resource=""ingresses.networking.k8s.io""}","{resource=""jobs.batch""}","{resource=""leases.coordination.k8s.io""}","{resource=""limitranges""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""networkpolicies.networking.k8s.io""}","{resource=""nodes""}","{resource=""peerauthentications.security.istio.io""}","{resource=""persistentvolumeclaims""}","{resource=""persistentvolumes""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""podsecuritypolicies.policy""}","{resource=""podtemplates""}","{resource=""priorityclasses.scheduling.k8s.io""}","{resource=""prioritylevelconfigurations.flowcontrol.apiserver.k8s.io""}","{resource=""proxyconfigs.networking.istio.io""}","{resource=""replicasets.apps""}","{resource=""replicationcontrollers""}","{resource=""requestauthentications.security.istio.io""}","{resource=""resourcequotas""}","{resource=""rolebindings.rbac.authorization.k8s.io""}","{resource=""roles.rbac.authorization.k8s.io""}","{resource=""runtimeclasses.node.k8s.io""}","{resource=""secrets""}","{resource=""serviceaccounts""}","{resource=""serviceentries.networking.istio.io""}","{resource=""services""}","{resource=""sidecars.networking.istio.io""}","{resource=""statefulsets.apps""}","{resource=""storageclasses.storage.k8s.io""}","{resource=""telemetries.telemetry.istio.io""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""virtualservices.networking.istio.io""}","{resource=""volumeattachments.storage.k8s.io""}","{resource=""volumesnapshotclasses.snapshot.storage.k8s.io""}","{resource=""volumesnapshotcontents.snapshot.storage.k8s.io""}","{resource=""volumesnapshots.snapshot.storage.k8s.io""}","{resource=""wasmplugins.extensions.istio.io""}","{resource=""workloadentries.networking.istio.io""}","{resource=""workloadgroups.networking.istio.io""}"
2023-08-10 18:47:34,0.1111111111111111,0.0,0.0,0.0,0.0,1.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:48:34,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:49:34,0.1111111111111111,0.0,0.0,0.0,2.9777777777777774,1.7555555555555555,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.1111111111111111,0.0,0.04444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31111111111111106,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,28.066666666666666,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888888,0.0,0.0,0.04444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:50:34,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:51:34,0.1111111111111111,0.0,0.0,0.0,1.4888888888888887,0.0,0.3555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.3555555555555555,0.2222222222222222,0.0,0.08888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.3555555555555555,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,56.13333333333333,0.0,0.0,0.0,0.0,0.0,0.3555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.08888888888888888,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:52:34,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:53:34,0.1111111111111111,0.0,0.0,0.0,1.4888888888888887,3.511111111111111,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.1111111111111111,0.0,0.04444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,28.066666666666666,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.04444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:54:34,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:55:34,0.1111111111111111,0.0,0.0,0.0,2.9777777777777774,3.511111111111111,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.1111111111111111,0.0,0.04444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,28.066666666666666,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888888,0.0,0.0,0.04444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10 18:56:34,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
