,"{container=""discovery"",pod=""istiod-asm-1-17-5495dc9894-g7q45""}"
2023-08-25 22:38:16,1.0
2023-08-25 22:39:16,1.0
2023-08-25 22:40:16,1.0
2023-08-25 22:41:16,1.0
2023-08-25 22:42:16,1.0
2023-08-25 22:44:16,1.0
2023-08-25 22:45:16,1.0
2023-08-25 22:46:16,1.0
2023-08-25 22:47:16,1.0
2023-08-25 22:48:16,1.0
2023-08-25 22:49:16,1.0
2023-08-25 22:50:16,1.0
2023-08-25 22:51:16,1.0
2023-08-25 22:52:16,1.0
2023-08-25 22:53:16,1.0
2023-08-25 22:54:16,1.0
2023-08-25 22:55:16,1.0
2023-08-25 22:56:16,1.0
2023-08-25 22:57:16,1.0
2023-08-25 22:58:16,1.0
