,"{container=""discovery"",pod=""istiod-asm-1-17-5495dc9894-g7q45""}"
2023-08-25 22:38:16,46.12096
2023-08-25 22:39:16,48.553984
2023-08-25 22:40:16,48.234496
2023-08-25 22:41:16,50.561024
2023-08-25 22:42:16,50.458624
2023-08-25 22:43:16,50.479104
2023-08-25 22:44:16,66.49856
2023-08-25 22:45:16,68.767744
2023-08-25 22:46:16,68.767744
2023-08-25 22:47:16,65.880064
2023-08-25 22:48:16,68.562944
2023-08-25 22:49:16,67.407872
2023-08-25 22:50:16,67.29728
2023-08-25 22:51:16,66.609152
2023-08-25 22:52:16,66.658304
2023-08-25 22:53:16,73.269248
2023-08-25 22:54:16,73.273344
2023-08-25 22:55:16,73.715712
2023-08-25 22:56:16,73.58464
2023-08-25 22:57:16,73.449472
2023-08-25 22:58:16,74.141696
